file_num,id_accident,district_code,wday_name,day_type,year,month_of_year,month,day_of_month,date,time_of_day,day_slot,acc_cause,num_death,num_minor,num_major,num_victim,num_vehicle,lon,lat,dist_road,on_road_lon,on_road_lat,UTM_on_road_lon,UTM_on_road_lat,road_id,road_length,road_type,road_speed,road_name,dist_bus,dist_muni_mkt,dist_restaurant,dist_school,dist_srt_mkt,log_length,ratio,traffic_intensity,ln_length,t_intensity,rw_day
2014S000606,17907,2,Sun,Laboral,2014,1,Jan,26,26/01/2014,0,Night,Desconegut,0,3,0,3,2,2.175430683,41.4015762,0.000177806,2.175322273,41.40171713,431159.95,4583885.48,96871,30.95,4,50,Carrer de València,164.767903,444.2382418,73.13580358,247.5053695,262.58371,1.490660653,12.5,18.63325817,3.432372999,42.90466249,1487
2014S003293,19225,2,Mon,Laboral,2014,5,May,5,05/05/2014,14,Afternoon,Desconegut,0,1,0,1,2,2.175129367,41.40175321,0.000146212,2.175218514,41.40163732,431151.19,4583876.7,96871,30.95,4,50,Carrer de València,152.4224749,439.9843566,63.2644645,281.4931455,230.4870403,1.490660653,12.5,18.63325817,3.432372999,42.90466249,1586
2014S004710,19886,2,Thu,Laboral,2014,6,Jun,26,26/06/2014,14,Afternoon,Desconegut,0,3,0,3,2,2.175430683,41.4015762,0.000177806,2.175322273,41.40171713,431159.95,4583885.48,96871,30.95,4,50,Carrer de València,164.767903,444.2382418,73.13580358,247.5053695,262.58371,1.490660653,12.5,18.63325817,3.432372999,42.90466249,1638
2015S001360,23034,2,Sat,Laboral,2015,2,Feb,21,21/02/2015,18,Afternoon,No és causa del  vianant,0,0,0,0,4,2.175129367,41.40175321,0.000146212,2.175218514,41.40163732,431151.19,4583876.7,96871,30.95,4,50,Carrer de València,152.4224749,439.9843566,63.2644645,281.4931455,230.4870403,1.490660653,12.5,18.63325817,3.432372999,42.90466249,1878
2015S002883,23787,2,Fri,Laboral,2015,4,Apr,17,17/04/2015,16,Afternoon,No és causa del  vianant,0,1,0,1,2,2.175129367,41.40175321,0.000146212,2.175218514,41.40163732,431151.19,4583876.7,96871,30.95,4,50,Carrer de València,152.4224749,439.9843566,63.2644645,281.4931455,230.4870403,1.490660653,12.5,18.63325817,3.432372999,42.90466249,1933
2015S005016,24818,2,Mon,Laboral,2015,6,Jun,29,29/06/2015,18,Afternoon,No és causa del  vianant,0,1,0,1,2,2.175129367,41.40175321,0.000146212,2.175218514,41.40163732,431151.19,4583876.7,96871,30.95,4,50,Carrer de València,152.4224749,439.9843566,63.2644645,281.4931455,230.4870403,1.490660653,12.5,18.63325817,3.432372999,42.90466249,2006
2015S008679,26590,2,Tue,Laboral,2015,11,Nov,17,17/11/2015,17,Afternoon,No és causa del  vianant,0,1,0,1,2,2.175129367,41.40175321,0.000146212,2.175218514,41.40163732,431151.19,4583876.7,96871,30.95,4,50,Carrer de València,152.4224749,439.9843566,63.2644645,281.4931455,230.4870403,1.490660653,12.5,18.63325817,3.432372999,42.90466249,2147
2015S008820,26658,2,Sun,Laboral,2015,11,Nov,22,22/11/2015,12,Morning,No és causa del  vianant,0,1,0,1,3,2.175430683,41.4015762,0.000177806,2.175322273,41.40171713,431159.95,4583885.48,96871,30.95,4,50,Carrer de València,164.767903,444.2382418,73.13580358,247.5053695,262.58371,1.490660653,12.5,18.63325817,3.432372999,42.90466249,2152
2016S005253    ,29804,2,Tue,Laboral,2016,7,Jul,5,05/07/2016,14,Afternoon,No és causa del  vianant,0,1,0,1,2,2.175119,41.40175,0.000149989,2.17521045,41.40163112,431150.51,4583876.02,96871,30.95,4,50,Carrer de València,151.4625366,440.7238137,63.282304,282.3823826,229.4860562,1.490660653,12.5,18.63325817,3.432372999,42.90466249,2378
2019S000358    ,42109,2,Tue,Laboral,2019,1,Jan,15,15/01/2019,12,Morning,Desobeir el senyal del semàfor,0,3,0,3,1,2.175043342,41.40178394,0.00022302,2.17517932,41.40160717,431147.88,4583873.39,96871,30.95,4,50,Carrer de València,148.7294353,441.0385505,58.30744246,290.6235712,221.6420103,1.490660653,12.5,18.63325817,3.432372999,42.90466249,3302
2019S006308    ,45016,2,Thu,Laboral,2019,8,Aug,8,08/08/2019,16,Afternoon,No és causa del  vianant,0,1,0,1,3,2.175338737,41.40160203,0.000101272,2.175276991,41.4016823,431156.13,4583881.65,96871,30.95,4,50,Carrer de València,158.6355432,445.2561764,75.90189893,257.0556934,253.1070466,1.490660653,12.5,18.63325817,3.432372999,42.90466249,3507
2019S006795    ,45263,2,Mon,Laboral,2019,9,Sep,2,02/09/2019,14,Afternoon,No és causa del  vianant,0,1,0,1,2,2.175043342,41.40178394,0.00022302,2.17517932,41.40160717,431147.88,4583873.39,96871,30.95,4,50,Carrer de València,148.7294353,441.0385505,58.30744246,290.6235712,221.6420103,1.490660653,12.5,18.63325817,3.432372999,42.90466249,3532
2019S008330    ,45965,2,Mon,Laboral,2019,10,Oct,28,28/10/2019,10,Morning,Desobeir el senyal del semàfor,0,2,0,2,1,2.175194719,41.40157227,0.0000371,2.175172129,41.40160164,431147.27,4583872.78,96871,30.95,4,50,Carrer de València,145.3234311,453.6637137,82.48083389,270.1591005,239.3503351,1.490660653,12.5,18.63325817,3.432372999,42.90466249,3588
2017S000174    ,32312,2,Sun,Laboral,2017,1,Jan,8,08/01/2017,20,Afternoon,No és causa del  vianant,0,1,0,1,2,2.17889,41.404391,0.000000795,2.178890482,41.40439037,431461.02,4584179.43,96853,25.28,4,50,Carrer de València,58.03628176,227.9152913,140.8544284,86.32873218,431.4939629,1.40277707,12.5,17.53471337,3.230013569,40.37516962,2565
